# suspend-061314-131149 skynet standby 3.15.0-latest
# tracer: nop
#
# entries-in-buffer/entries-written: 744/744   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-2613  [006] ...1    77.795478: tracing_mark_write: SUSPEND START
 analyze_suspend-2475  [000] ....    77.795627: suspend_resume: suspend_enter[2] begin
 analyze_suspend-2475  [000] ....    77.795628: suspend_resume: sync_filesystems[0] begin
 analyze_suspend-2475  [007] ....    77.916710: suspend_resume: sync_filesystems[0] end
 analyze_suspend-2475  [007] ....    77.916851: suspend_resume: freeze_processes[0] begin
 analyze_suspend-2475  [007] ....    77.919022: suspend_resume: freeze_processes[0] end
 analyze_suspend-2475  [007] ....    77.919022: suspend_resume: suspend_enter[2] end
 analyze_suspend-2475  [007] ....    77.919096: suspend_resume: dpm_prepare[2] begin
 analyze_suspend-2475  [007] ....    77.919125: device_pm_callback_start: pci 0000:00:00.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919126: device_pm_callback_end: pci 0000:00:00.0, err=0
 analyze_suspend-2475  [007] ....    77.919127: device_pm_callback_start: i915 0000:00:02.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919127: device_pm_callback_end: i915 0000:00:02.0, err=0
 analyze_suspend-2475  [007] ....    77.919128: device_pm_callback_start: xhci_hcd 0000:00:14.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919128: device_pm_callback_end: xhci_hcd 0000:00:14.0, err=0
 analyze_suspend-2475  [007] ....    77.919129: device_pm_callback_start: mei_me 0000:00:16.0, parent: pci0000:00, preparing power domain [suspend]
 analyze_suspend-2475  [007] ....    77.919129: device_pm_callback_end: mei_me 0000:00:16.0, err=0
 analyze_suspend-2475  [007] ....    77.919129: device_pm_callback_start: ehci-pci 0000:00:1a.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919130: device_pm_callback_end: ehci-pci 0000:00:1a.0, err=0
 analyze_suspend-2475  [007] ....    77.919130: device_pm_callback_start: snd_hda_intel 0000:00:1b.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919130: device_pm_callback_end: snd_hda_intel 0000:00:1b.0, err=0
 analyze_suspend-2475  [007] ....    77.919131: device_pm_callback_start: pcieport 0000:00:1c.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919131: device_pm_callback_end: pcieport 0000:00:1c.0, err=0
 analyze_suspend-2475  [007] ....    77.919131: device_pm_callback_start: pcieport 0000:00:1c.3, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919132: device_pm_callback_end: pcieport 0000:00:1c.3, err=0
 analyze_suspend-2475  [007] ....    77.919132: device_pm_callback_start: ehci-pci 0000:00:1d.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919132: device_pm_callback_end: ehci-pci 0000:00:1d.0, err=0
 analyze_suspend-2475  [007] ....    77.919133: device_pm_callback_start: lpc_ich 0000:00:1f.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919133: device_pm_callback_end: lpc_ich 0000:00:1f.0, err=0
 analyze_suspend-2475  [007] ....    77.919133: device_pm_callback_start: ahci 0000:00:1f.2, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919133: device_pm_callback_end: ahci 0000:00:1f.2, err=0
 analyze_suspend-2475  [007] ....    77.919134: device_pm_callback_start: pci 0000:00:1f.3, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919134: device_pm_callback_end: pci 0000:00:1f.3, err=0
 analyze_suspend-2475  [007] ....    77.919135: device_pm_callback_start: ath9k 0000:01:00.0, parent: 0000:00:1c.0, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919135: device_pm_callback_end: ath9k 0000:01:00.0, err=0
 analyze_suspend-2475  [007] ....    77.919136: device_pm_callback_start: r8169 0000:02:00.0, parent: 0000:00:1c.3, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919136: device_pm_callback_end: r8169 0000:02:00.0, err=0
 analyze_suspend-2475  [007] ....    77.919163: device_pm_callback_start: usb usb1, parent: 0000:00:1a.0, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919163: device_pm_callback_end: usb usb1, err=0
 analyze_suspend-2475  [007] ....    77.919164: device_pm_callback_start: usb usb2, parent: 0000:00:1d.0, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919164: device_pm_callback_end: usb usb2, err=0
 analyze_suspend-2475  [007] ....    77.919165: device_pm_callback_start: usb usb3, parent: 0000:00:14.0, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919165: device_pm_callback_end: usb usb3, err=0
 analyze_suspend-2475  [007] ....    77.919166: device_pm_callback_start: usb 1-1, parent: usb1, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919166: device_pm_callback_end: usb 1-1, err=0
 analyze_suspend-2475  [007] ....    77.919168: device_pm_callback_start: usb usb4, parent: 0000:00:14.0, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919168: device_pm_callback_end: usb usb4, err=0
 analyze_suspend-2475  [007] ....    77.919170: device_pm_callback_start: usb 2-1, parent: usb2, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919170: device_pm_callback_end: usb 2-1, err=0
 analyze_suspend-2475  [007] ....    77.919172: device_pm_callback_start: usb 3-3, parent: usb3, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919172: device_pm_callback_end: usb 3-3, err=0
 analyze_suspend-2475  [007] ....    77.919174: device_pm_callback_start: usb 1-1.1, parent: 1-1, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919175: device_pm_callback_end: usb 1-1.1, err=0
 analyze_suspend-2475  [007] ....    77.919176: device_pm_callback_start: usb 1-1.2, parent: 1-1, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919176: device_pm_callback_end: usb 1-1.2, err=0
 analyze_suspend-2475  [007] ....    77.919182: device_pm_callback_start: scsi host0, parent: ata1, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919182: device_pm_callback_end: scsi host0, err=0
 analyze_suspend-2475  [007] ....    77.919183: device_pm_callback_start: scsi host1, parent: ata2, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919183: device_pm_callback_end: scsi host1, err=0
 analyze_suspend-2475  [007] ....    77.919183: device_pm_callback_start: scsi host2, parent: ata3, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919184: device_pm_callback_end: scsi host2, err=0
 analyze_suspend-2475  [007] ....    77.919184: device_pm_callback_start: scsi host3, parent: ata4, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919184: device_pm_callback_end: scsi host3, err=0
 analyze_suspend-2475  [007] ....    77.919185: device_pm_callback_start: scsi host4, parent: ata5, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919185: device_pm_callback_end: scsi host4, err=0
 analyze_suspend-2475  [007] ....    77.919185: device_pm_callback_start: scsi host5, parent: ata6, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919185: device_pm_callback_end: scsi host5, err=0
 analyze_suspend-2475  [007] ....    77.919186: device_pm_callback_start: usb 1-1.4, parent: 1-1, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919186: device_pm_callback_end: usb 1-1.4, err=0
 analyze_suspend-2475  [007] ....    77.919187: device_pm_callback_start: scsi target0:0:0, parent: host0, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919187: device_pm_callback_end: scsi target0:0:0, err=0
 analyze_suspend-2475  [007] ....    77.919188: device_pm_callback_start: sd 0:0:0:0, parent: target0:0:0, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919188: device_pm_callback_end: sd 0:0:0:0, err=0
 analyze_suspend-2475  [007] ....    77.919189: device_pm_callback_start: scsi target5:0:0, parent: host5, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919189: device_pm_callback_end: scsi target5:0:0, err=0
 analyze_suspend-2475  [007] ....    77.919190: device_pm_callback_start: sr 5:0:0:0, parent: target5:0:0, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919190: device_pm_callback_end: sr 5:0:0:0, err=0
 analyze_suspend-2475  [007] ....    77.919191: device_pm_callback_start: usb 4-3, parent: usb4, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919191: device_pm_callback_end: usb 4-3, err=0
 analyze_suspend-2475  [007] ....    77.919194: device_pm_callback_start: usb 2-1.8, parent: 2-1, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919195: device_pm_callback_end: usb 2-1.8, err=0
 analyze_suspend-2475  [007] ....    77.919196: device_pm_callback_start: scsi host6, parent: 2-1.8:1.0, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919196: device_pm_callback_end: scsi host6, err=0
 analyze_suspend-2475  [007] ....    77.919196: device_pm_callback_start: usb 1-1.4.3, parent: 1-1.4, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919197: device_pm_callback_end: usb 1-1.4.3, err=0
 analyze_suspend-2475  [007] ....    77.919198: device_pm_callback_start: usb 4-3.4, parent: 4-3, preparing type [suspend]
 analyze_suspend-2475  [007] ....    77.919198: device_pm_callback_end: usb 4-3.4, err=0
 analyze_suspend-2475  [007] ....    77.919199: device_pm_callback_start: scsi host7, parent: 4-3.4:1.0, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919199: device_pm_callback_end: scsi host7, err=0
 analyze_suspend-2475  [007] ....    77.919199: device_pm_callback_start: scsi target6:0:0, parent: host6, preparing bus [suspend]
 analyze_suspend-2475  [007] ....    77.919200: device_pm_callback_end: scsi target6:0:0, err=0
