# suspend-061314-131447 skynet freeze 3.15.0-latest
# tracer: nop
#
# entries-in-buffer/entries-written: 710/710   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-2942  [007] ...1   134.318885: tracing_mark_write: SUSPEND START
 analyze_suspend-2804  [001] ....   134.319055: suspend_resume: suspend_enter[1] begin
 analyze_suspend-2804  [001] ....   134.319057: suspend_resume: sync_filesystems[0] begin
 analyze_suspend-2804  [006] ....   134.441254: suspend_resume: sync_filesystems[0] end
 analyze_suspend-2804  [006] ....   134.441390: suspend_resume: freeze_processes[0] begin
 analyze_suspend-2804  [006] ....   134.443936: suspend_resume: freeze_processes[0] end
 analyze_suspend-2804  [006] ....   134.443936: suspend_resume: suspend_enter[1] end
 analyze_suspend-2804  [006] ....   134.443939: suspend_resume: dpm_prepare[2] begin
 analyze_suspend-2804  [006] ....   134.443966: device_pm_callback_start: pci 0000:00:00.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2804  [006] ....   134.443967: device_pm_callback_end: pci 0000:00:00.0, err=0
 analyze_suspend-2804  [006] ....   134.443968: device_pm_callback_start: i915 0000:00:02.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2804  [006] ....   134.443968: device_pm_callback_end: i915 0000:00:02.0, err=0
 analyze_suspend-2804  [006] ....   134.443969: device_pm_callback_start: xhci_hcd 0000:00:14.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2804  [006] ....   134.443969: device_pm_callback_end: xhci_hcd 0000:00:14.0, err=0
 analyze_suspend-2804  [006] ....   134.443969: device_pm_callback_start: mei_me 0000:00:16.0, parent: pci0000:00, preparing power domain [suspend]
 analyze_suspend-2804  [006] ....   134.443970: device_pm_callback_end: mei_me 0000:00:16.0, err=0
 analyze_suspend-2804  [006] ....   134.443970: device_pm_callback_start: ehci-pci 0000:00:1a.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2804  [006] ....   134.443971: device_pm_callback_end: ehci-pci 0000:00:1a.0, err=0
 analyze_suspend-2804  [006] ....   134.443971: device_pm_callback_start: snd_hda_intel 0000:00:1b.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2804  [006] ....   134.443971: device_pm_callback_end: snd_hda_intel 0000:00:1b.0, err=0
 analyze_suspend-2804  [006] ....   134.443972: device_pm_callback_start: pcieport 0000:00:1c.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-2804  [006] ....   134.443972: device_pm_callback_end: pcieport 0000:00:1c.0, err=0
