# suspend-061314-132459 skynet mem 3.15.0-latest
# tracer: nop
#
# entries-in-buffer/entries-written: 744/744   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-4260  [007] ...1   550.702681: tracing_mark_write: SUSPEND START
 analyze_suspend-4122  [001] ....   550.702789: suspend_resume: suspend_enter[3] begin
 analyze_suspend-4122  [001] ....   550.702791: suspend_resume: sync_filesystems[0] begin
 analyze_suspend-4122  [004] ....   550.847532: suspend_resume: sync_filesystems[0] end
 analyze_suspend-4122  [004] ....   550.847685: suspend_resume: freeze_processes[0] begin
 analyze_suspend-4122  [004] ....   550.850199: suspend_resume: freeze_processes[0] end
 analyze_suspend-4122  [004] ....   550.850200: suspend_resume: suspend_enter[3] end
 analyze_suspend-4122  [004] ....   550.850274: suspend_resume: dpm_prepare[2] begin
 analyze_suspend-4122  [004] ....   550.850302: device_pm_callback_start: pci 0000:00:00.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850303: device_pm_callback_end: pci 0000:00:00.0, err=0
 analyze_suspend-4122  [004] ....   550.850303: device_pm_callback_start: i915 0000:00:02.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850304: device_pm_callback_end: i915 0000:00:02.0, err=0
 analyze_suspend-4122  [004] ....   550.850304: device_pm_callback_start: xhci_hcd 0000:00:14.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850304: device_pm_callback_end: xhci_hcd 0000:00:14.0, err=0
 analyze_suspend-4122  [004] ....   550.850305: device_pm_callback_start: mei_me 0000:00:16.0, parent: pci0000:00, preparing power domain [suspend]
 analyze_suspend-4122  [004] ....   550.850305: device_pm_callback_end: mei_me 0000:00:16.0, err=0
 analyze_suspend-4122  [004] ....   550.850306: device_pm_callback_start: ehci-pci 0000:00:1a.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850306: device_pm_callback_end: ehci-pci 0000:00:1a.0, err=0
 analyze_suspend-4122  [004] ....   550.850306: device_pm_callback_start: snd_hda_intel 0000:00:1b.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850307: device_pm_callback_end: snd_hda_intel 0000:00:1b.0, err=0
 analyze_suspend-4122  [004] ....   550.850307: device_pm_callback_start: pcieport 0000:00:1c.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850307: device_pm_callback_end: pcieport 0000:00:1c.0, err=0
 analyze_suspend-4122  [004] ....   550.850308: device_pm_callback_start: pcieport 0000:00:1c.3, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850308: device_pm_callback_end: pcieport 0000:00:1c.3, err=0
 analyze_suspend-4122  [004] ....   550.850308: device_pm_callback_start: ehci-pci 0000:00:1d.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850308: device_pm_callback_end: ehci-pci 0000:00:1d.0, err=0
 analyze_suspend-4122  [004] ....   550.850309: device_pm_callback_start: lpc_ich 0000:00:1f.0, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850309: device_pm_callback_end: lpc_ich 0000:00:1f.0, err=0
 analyze_suspend-4122  [004] ....   550.850309: device_pm_callback_start: ahci 0000:00:1f.2, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850310: device_pm_callback_end: ahci 0000:00:1f.2, err=0
 analyze_suspend-4122  [004] ....   550.850310: device_pm_callback_start: pci 0000:00:1f.3, parent: pci0000:00, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850310: device_pm_callback_end: pci 0000:00:1f.3, err=0
 analyze_suspend-4122  [004] ....   550.850311: device_pm_callback_start: ath9k 0000:01:00.0, parent: 0000:00:1c.0, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850311: device_pm_callback_end: ath9k 0000:01:00.0, err=0
 analyze_suspend-4122  [004] ....   550.850311: device_pm_callback_start: r8169 0000:02:00.0, parent: 0000:00:1c.3, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850312: device_pm_callback_end: r8169 0000:02:00.0, err=0
 analyze_suspend-4122  [004] ....   550.850339: device_pm_callback_start: usb usb1, parent: 0000:00:1a.0, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850339: device_pm_callback_end: usb usb1, err=0
 analyze_suspend-4122  [004] ....   550.850340: device_pm_callback_start: usb usb2, parent: 0000:00:1d.0, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850340: device_pm_callback_end: usb usb2, err=0
 analyze_suspend-4122  [004] ....   550.850341: device_pm_callback_start: usb usb3, parent: 0000:00:14.0, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850341: device_pm_callback_end: usb usb3, err=0
 analyze_suspend-4122  [004] ....   550.850342: device_pm_callback_start: usb 1-1, parent: usb1, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850342: device_pm_callback_end: usb 1-1, err=0
 analyze_suspend-4122  [004] ....   550.850343: device_pm_callback_start: usb usb4, parent: 0000:00:14.0, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850344: device_pm_callback_end: usb usb4, err=0
 analyze_suspend-4122  [004] ....   550.850346: device_pm_callback_start: usb 2-1, parent: usb2, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850346: device_pm_callback_end: usb 2-1, err=0
 analyze_suspend-4122  [004] ....   550.850349: device_pm_callback_start: usb 3-3, parent: usb3, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850349: device_pm_callback_end: usb 3-3, err=0
 analyze_suspend-4122  [004] ....   550.850350: device_pm_callback_start: usb 1-1.1, parent: 1-1, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850351: device_pm_callback_end: usb 1-1.1, err=0
 analyze_suspend-4122  [004] ....   550.850352: device_pm_callback_start: usb 1-1.2, parent: 1-1, preparing type [suspend]
 analyze_suspend-4122  [004] ....   550.850352: device_pm_callback_end: usb 1-1.2, err=0
 analyze_suspend-4122  [004] ....   550.850358: device_pm_callback_start: scsi host0, parent: ata1, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850358: device_pm_callback_end: scsi host0, err=0
 analyze_suspend-4122  [004] ....   550.850359: device_pm_callback_start: scsi host1, parent: ata2, preparing bus [suspend]
 analyze_suspend-4122  [004] ....   550.850359: device_pm_callback_end: scsi host1, err=0
