# suspend-061314-132803 skynet disk 3.15.0-latest
# tracer: nop
#
# entries-in-buffer/entries-written: 730/730   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-2800  [004] ...1   113.065021: tracing_mark_write: SUSPEND START
 analyze_suspend-2662  [004] ....   113.402457: suspend_resume: dpm_prepare[1] begin
 analyze_suspend-2662  [004] ....   113.402495: device_pm_callback_start: pci 0000:00:00.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402496: device_pm_callback_end: pci 0000:00:00.0, err=0
 analyze_suspend-2662  [004] ....   113.402496: device_pm_callback_start: i915 0000:00:02.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402497: device_pm_callback_end: i915 0000:00:02.0, err=0
 analyze_suspend-2662  [004] ....   113.402498: device_pm_callback_start: xhci_hcd 0000:00:14.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402498: device_pm_callback_end: xhci_hcd 0000:00:14.0, err=0
 analyze_suspend-2662  [004] ....   113.402499: device_pm_callback_start: mei_me 0000:00:16.0, parent: pci0000:00, preparing power domain [freeze]
 analyze_suspend-2662  [004] ....   113.402499: device_pm_callback_end: mei_me 0000:00:16.0, err=0
 analyze_suspend-2662  [004] ....   113.402500: device_pm_callback_start: ehci-pci 0000:00:1a.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402500: device_pm_callback_end: ehci-pci 0000:00:1a.0, err=0
 analyze_suspend-2662  [004] ....   113.402500: device_pm_callback_start: snd_hda_intel 0000:00:1b.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402501: device_pm_callback_end: snd_hda_intel 0000:00:1b.0, err=0
 analyze_suspend-2662  [004] ....   113.402501: device_pm_callback_start: pcieport 0000:00:1c.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402502: device_pm_callback_end: pcieport 0000:00:1c.0, err=0
 analyze_suspend-2662  [004] ....   113.402502: device_pm_callback_start: pcieport 0000:00:1c.3, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402502: device_pm_callback_end: pcieport 0000:00:1c.3, err=0
 analyze_suspend-2662  [004] ....   113.402502: device_pm_callback_start: ehci-pci 0000:00:1d.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402502: device_pm_callback_end: ehci-pci 0000:00:1d.0, err=0
 analyze_suspend-2662  [004] ....   113.402503: device_pm_callback_start: lpc_ich 0000:00:1f.0, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402504: device_pm_callback_end: lpc_ich 0000:00:1f.0, err=0
 analyze_suspend-2662  [004] ....   113.402504: device_pm_callback_start: ahci 0000:00:1f.2, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402504: device_pm_callback_end: ahci 0000:00:1f.2, err=0
 analyze_suspend-2662  [004] ....   113.402505: device_pm_callback_start: pci 0000:00:1f.3, parent: pci0000:00, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402505: device_pm_callback_end: pci 0000:00:1f.3, err=0
 analyze_suspend-2662  [004] ....   113.402506: device_pm_callback_start: ath9k 0000:01:00.0, parent: 0000:00:1c.0, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402506: device_pm_callback_end: ath9k 0000:01:00.0, err=0
 analyze_suspend-2662  [004] ....   113.402507: device_pm_callback_start: r8169 0000:02:00.0, parent: 0000:00:1c.3, preparing bus [freeze]
 analyze_suspend-2662  [004] ....   113.402507: device_pm_callback_end: r8169 0000:02:00.0, err=0
